Date,GLI,BTC
04/06/2021,163.2675045,36894.40625
11/06/2021,163.2675045,37334.39844
18/06/2021,163.2818671,35787.24609
25/06/2021,163.454219,31637.7793
02/07/2021,163.6821749,33897.04688
09/07/2021,163.8669158,33798.01172
16/07/2021,163.8707361,31421.53906
23/07/2021,163.874549,33581.55078
30/07/2021,164.1063291,42235.54688
06/08/2021,164.3581414,42816.5
13/08/2021,164.6065376,47793.32031
20/08/2021,164.603452,49339.17578
27/08/2021,164.5493407,49058.66797
03/09/2021,164.4933427,50025.375
10/09/2021,164.4364131,44883.91016
17/09/2021,164.4362761,47267.51953
24/09/2021,164.9813625,42839.75
01/10/2021,165.5586697,48116.94141
08/10/2021,166.1074812,53967.84766
15/10/2021,166.1264604,61593.94922
22/10/2021,166.128678,60692.26563
29/10/2021,166.0170333,62227.96484
05/11/2021,165.8789434,61125.67578
12/11/2021,165.7378815,64155.94141
19/11/2021,165.7332431,58119.57813
26/11/2021,165.8815081,53569.76563
03/12/2021,166.0474951,53598.24609
10/12/2021,166.2218206,47243.30469
17/12/2021,166.239536,46202.14453
24/12/2021,166.2502253,50822.19531
31/12/2021,166.5957238,46306.44531
07/01/2022,166.9591429,41557.90234
14/01/2022,167.3218879,43099.69922
21/01/2022,167.3912033,36457.31641
28/01/2022,167.6560459,37784.33203
04/02/2022,167.9984388,41500.875
11/02/2022,168.2975017,42407.9375
18/02/2022,168.3265707,40030.97656
25/02/2022,168.3220711,39214.21875
04/03/2022,168.3282657,39137.60547
11/03/2022,168.354049,38794.97266
18/03/2022,168.3507965,41801.15625
25/03/2022,167.6638183,44348.73047
01/04/2022,166.6616465,46281.64453
08/04/2022,165.7029189,42287.66406
15/04/2022,165.4603049,40553.46484
22/04/2022,165.4554838,39740.32031
29/04/2022,165.2264093,38609.82422
06/05/2022,164.9219021,36040.92188
13/05/2022,164.5737034,29283.10352
20/05/2022,164.4625069,29200.74023
27/05/2022,164.1943889,28627.57422
03/06/2022,163.8088334,29704.39063
10/06/2022,163.438196,29083.80469
17/06/2022,163.2751633,20471.48242
24/06/2022,163.2100539,21231.65625
01/07/2022,163.0905376,19269.36719
08/07/2022,162.9719363,21731.11719
15/07/2022,162.9303744,20836.32813
22/07/2022,162.9236957,22714.97852
29/07/2022,162.7360599,23804.63281
05/08/2022,162.4309807,23289.31445
12/08/2022,162.1205122,24402.81836
19/08/2022,161.9690468,20877.55273
26/08/2022,161.549779,20260.01953
02/09/2022,160.733873,19969.77148
09/09/2022,159.8192362,21381.15234
16/09/2022,159.4891706,19772.58398
23/09/2022,159.4854172,19297.63867
30/09/2022,159.3638949,19431.78906
07/10/2022,159.0788782,19546.84961
14/10/2022,158.9122032,19185.65625
21/10/2022,158.862333,19172.46875
28/10/2022,158.960645,20595.35156
04/11/2022,159.403913,21147.23047
11/11/2022,159.949334,17034.29297
18/11/2022,160.4231658,16697.77734
25/11/2022,161.2368599,16521.8418
02/12/2022,161.8630129,17088.66016
09/12/2022,162.2857967,17133.15234
16/12/2022,162.6974429,16647.48438
23/12/2022,163.1075684,16796.95313
30/12/2022,163.731995,16602.58594
06/01/2023,164.5556989,16951.96875
13/01/2023,165.2961288,19909.57422
20/01/2023,166.2540739,22676.55273
27/01/2023,166.8470845,23078.72852
03/02/2023,166.971043,23449.32227
10/02/2023,166.691437,21651.18359
17/02/2023,166.4132727,24565.60156
24/02/2023,166.2131215,23198.12695
03/03/2023,166.3226597,22362.67969
10/03/2023,166.6132597,20187.24414
17/03/2023,166.8898695,27423.92969
24/03/2023,167.2752735,27493.28516
31/03/2023,167.7106347,28478.48438
07/04/2023,167.975049,27925.85938
14/04/2023,168.1997364,30485.69922
21/04/2023,168.515017,27276.91016
28/04/2023,168.4897918,29340.26172
05/05/2023,168.1182256,29534.38477
12/05/2023,167.738996,26804.99023
19/05/2023,167.3207892,26890.12891
26/05/2023,166.8957284,26719.29102
02/06/2023,166.3618232,27249.58984
09/06/2023,166.1367667,26480.375
16/06/2023,165.8958707,26327.46289
23/06/2023,165.6449467,30695.46875
30/06/2023,165.5489596,30477.25195
07/07/2023,165.8409022,30342.26563
14/07/2023,166.1392829,30334.06836
21/07/2023,166.422174,29908.74414
28/07/2023,166.6489001,29319.24609
04/08/2023,166.6918578,29074.0918
11/08/2023,166.513465,29397.71484
18/08/2023,166.3372047,26049.55664
25/08/2023,166.0758998,26047.66797
01/09/2023,165.6473894,25800.72461
08/09/2023,165.394625,25905.6543
15/09/2023,165.112143,26608.69336
22/09/2023,164.8617594,26579.56836
29/09/2023,164.6354833,26911.7207
06/10/2023,164.7074302,27946.59766
13/10/2023,164.7862695,26862.375
20/10/2023,164.874035,29682.94922
27/10/2023,164.9824719,33909.80078
03/11/2023,165.8155354,34732.32422
10/11/2023,166.4749503,37313.96875
17/11/2023,167.1697301,36596.68359
24/11/2023,167.8958012,37720.28125
01/12/2023,168.8400042,38688.75
08/12/2023,169.2227777,44166.60156
15/12/2023,169.6182527,41929.75781
22/12/2023,169.9993388,43997.90234
29/12/2023,170.3195691,42099.40234
05/01/2024,170.2768051,44162.69141
12/01/2024,170.2418852,42853.16797
19/01/2024,170.1802136,41618.40625
26/01/2024,170.1472172,41816.87109
02/02/2024,170.3447079,43185.85938
09/02/2024,170.5688636,47147.19922
16/02/2024,170.6068223,52160.20313
23/02/2024,170.7713567,50731.94922
01/03/2024,170.8,62440.63281
12/03/2024,170.95,71413.66
19/03/2024,171.1,61935.42
26/03/2024,171.12,69890.57
09/04/2024,171.93,69144.23
16/04/2024,171.39,63837.89
23/04/2024,171.37,66428.24
30/04/2024,171.38,60675.03
07/05/2024,171.83,62348.69
14/05/2024,171.46,61579.86
21/05/2024,172.4,70142.99
28/05/2024,173.31,68351.97
04/06/2024,173.95,70567.23
11/06/2024,173.91,67325.53
